root 3rd 5th 7th 9th 11th 13th name dissonance
0 1 1 0 0 0 0 "Csus2 b5" 3
0 1 1 0 0 0 1 "Csus2 b5 b13" 6
0 1 1 0 0 0 2 "Csus2 b5 13" 3
0 1 1 0 0 1 0 "Csus2 b5 11" 5
0 1 1 0 0 1 1 "Csus2 b5 11 b13" 8
0 1 1 0 0 1 2 "Csus2 b5 11 13" 5
0 1 1 0 1 0 0 "Csus2 b5 b9" 7
0 1 1 0 1 0 1 "Csus2 b5 b9 b13" 10
0 1 1 0 1 0 2 "Csus2 b5 b9 13" 7
0 1 1 0 1 1 0 "Csus2 b5 b9 11" 9
0 1 1 0 1 1 1 "Csus2 b5 b9 11 b13" 12
0 1 1 0 1 1 2 "Csus2 b5 b9 11 13" 9
0 1 1 1 0 0 0 "Csus2 b5 7" 4
0 1 1 1 0 0 1 "Csus2 b5 7 b13" 8
0 1 1 1 0 0 2 "Csus2 b5 7 13" 6
0 1 1 1 0 1 0 "Csus2 b5 7 11" 6
0 1 1 1 0 1 1 "Csus2 b5 7 11 b13" 10
0 1 1 1 0 1 2 "Csus2 b5 7 11 13" 8
0 1 1 1 1 0 0 "Csus2 b5 7 b9" 8
0 1 1 1 1 0 1 "Csus2 b5 7 b9 b13" 12
0 1 1 1 1 0 2 "Csus2 b5 7 b9 13" 10
0 1 1 1 1 1 0 "Csus2 b5 7 b9 11" 10
0 1 1 1 1 1 1 "Csus2 b5 7 b9 11 b13" 14
0 1 1 1 1 1 2 "Csus2 b5 7 b9 11 13" 12
0 1 1 2 0 0 0 "Csus2 b5 maj7" 5
0 1 1 2 0 0 1 "Csus2 b5 maj7 b13" 8
0 1 1 2 0 0 2 "Csus2 b5 maj7 13" 6
0 1 1 2 0 1 0 "Csus2 b5 maj7 11" 9
0 1 1 2 0 1 1 "Csus2 b5 maj7 11 b13" 12
0 1 1 2 0 1 2 "Csus2 b5 maj7 11 13" 10
0 1 1 2 1 0 0 "Csus2 b5 maj7 b9" 10
0 1 1 2 1 0 1 "Csus2 b5 maj7 b9 b13" 13
0 1 1 2 1 0 2 "Csus2 b5 maj7 b9 13" 11
0 1 1 2 1 1 0 "Csus2 b5 maj7 b9 11" 14
0 1 1 2 1 1 1 "Csus2 b5 maj7 b9 11 b13" 17
0 1 1 2 1 1 2 "Csus2 b5 maj7 b9 11 13" 15
0 1 2 0 0 0 0 Csus2 1
0 1 2 0 0 0 1 "Csus2 b13" 5
0 1 2 0 0 0 2 "Csus2 13" 2
0 1 2 0 0 1 0 "Csus2 11" 2
0 1 2 0 0 1 1 "Csus2 11 b13" 6
0 1 2 0 0 1 2 "Csus2 11 13" 3
0 1 2 0 0 2 0 "Csus2 #11" 5
0 1 2 0 0 2 1 "Csus2 #11 b13" 10
0 1 2 0 0 2 2 "Csus2 #11 13" 6
0 1 2 0 1 0 0 "Csus2 b9" 7
0 1 2 0 1 0 1 "Csus2 b9 b13" 11
0 1 2 0 1 0 2 "Csus2 b9 13" 8
0 1 2 0 1 1 0 "Csus2 b9 11" 8
0 1 2 0 1 1 1 "Csus2 b9 11 b13" 12
0 1 2 0 1 1 2 "Csus2 b9 11 13" 9
0 1 2 0 1 2 0 "Csus2 b9 #11" 11
0 1 2 0 1 2 1 "Csus2 b9 #11 b13" 16
0 1 2 0 1 2 2 "Csus2 b9 #11 13" 12
0 1 2 1 0 0 0 "Csus2 7" 2
0 1 2 1 0 0 1 "Csus2 7 b13" 7
0 1 2 1 0 0 2 "Csus2 7 13" 5
0 1 2 1 0 1 0 "Csus2 7 11" 3
0 1 2 1 0 1 1 "Csus2 7 11 b13" 8
0 1 2 1 0 1 2 "Csus2 7 11 13" 6
0 1 2 1 0 2 0 "Csus2 7 #11" 6
0 1 2 1 0 2 1 "Csus2 7 #11 b13" 12
0 1 2 1 0 2 2 "Csus2 7 #11 13" 9
